Entity,Code,Year,Laboratory (%),Surveillance (%),Chemical events (%),Zoonotic events (%),Points of entry (%),Risk communication (%),Radiation emergencies (%),Legislation and Financing (%),National Health Emergency Framework (%),Zoonotic events and the human–animal interface (%),IHR Coordination and National IHR Focal Point Functions (%),Coordination and National Focal Point communications (%),"National legislation, policy and financing (%)",Health Service Provision (%),Radionuclear emergencies (%),Risk Communication (%),Chemical events (%),Human resources (%),Food safety (%)
Afghanistan,AFG,2010,45,96,7,69,,80,,,,,,75,50,,6,,,,
Afghanistan,AFG,2011,40,80,0,44,,43,,,,,,20,0,,0,,,,
Afghanistan,AFG,2012,26,80,0,56,,43,,,,,,36,0,,0,,,,
Afghanistan,AFG,2013,45,75,0,67,,57,,,,,,46,0,,62,,,,
Afghanistan,AFG,2014,53,90,23,67,,71,,,,,,63,50,,38,,,,
Afghanistan,AFG,2015,69,75,23,67,,71,,,,,,36,0,,54,,,,
Afghanistan,AFG,2016,76,95,31,33,,57,,,,,,30,0,,54,,,,
Afghanistan,AFG,2017,37,70,15,89,,29,,,,,,37,50,,38,,,,
Afghanistan,AFG,2018,,,,,10,,20,13,27,80,60,,,40,,20,0,40,20
Albania,ALB,2017,63,60,23,67,,57,,,,,,57,75,,62,,,,
Algeria,DZA,2010,35,64,14,76,,30,,,,,,56,50,,86,,,,
Algeria,DZA,2011,60,0,0,0,,14,,,,,,20,0,,0,,,,
Algeria,DZA,2012,4,35,31,56,,14,,,,,,53,0,,0,,,,
Algeria,DZA,2013,36,75,15,56,,29,,,,,,53,50,,0,,,,
Algeria,DZA,2014,76,85,15,89,,29,,,,,,100,100,,69,,,,
Algeria,DZA,2015,76,85,15,89,,29,,,,,,100,100,,69,,,,
Algeria,DZA,2016,58,55,100,89,,29,,,,,,90,100,,77,,,,
Algeria,DZA,2017,62,80,54,89,,43,,,,,,90,100,,77,,,,
Algeria,DZA,2018,,,,,60,,100,100,53,80,90,,,93,,60,100,80,80
Andorra,AND,2010,35,68,7,46,,70,,,,,,65,50,,0,,,,
Andorra,AND,2011,30,65,0,33,,14,,,,,,30,75,,0,,,,
Andorra,AND,2012,25,65,0,44,,14,,,,,,30,75,,0,,,,
Andorra,AND,2013,25,70,0,0,,14,,,,,,30,75,,0,,,,
Andorra,AND,2014,25,70,0,44,,14,,,,,,30,75,,0,,,,
Andorra,AND,2015,25,70,0,44,,14,,,,,,30,75,,0,,,,
Andorra,AND,2016,25,70,,44,,14,,,,,,30,75,,,,,,
Andorra,AND,2017,25,70,0,44,,14,,,,,,30,75,,0,,,,
Andorra,AND,2018,,,,,20,,0,47,0,60,50,,,53,,60,0,20,80
Angola,AGO,2011,100,50,0,67,,57,,,,,,73,0,,0,,,,
Angola,AGO,2013,57,60,15,33,,29,,,,,,73,50,,17,,,,
Angola,AGO,2014,0,25,0,0,,14,,,,,,73,50,,0,,,,
Angola,AGO,2017,100,95,8,100,,100,,,,,,100,100,,31,,,,
Angola,AGO,2018,,,,,40,,60,47,60,80,80,,,47,,80,40,60,20
Antigua and Barbuda,ATG,2010,53,60,50,76,,90,,,,,,91,50,,13,,,,
Antigua and Barbuda,ATG,2011,40,80,33,78,,57,,,,,,53,50,,8,,,,
Antigua and Barbuda,ATG,2012,66,95,62,89,,43,,,,,,66,100,,29,,,,
Antigua and Barbuda,ATG,2013,45,95,85,100,,57,,,,,,66,100,,23,,,,
Antigua and Barbuda,ATG,2014,81,100,85,100,,71,,,,,,100,100,,23,,,,
Antigua and Barbuda,ATG,2015,100,100,85,100,,86,,,,,,100,100,,23,,,,
Antigua and Barbuda,ATG,2016,68,85,69,89,,86,,,,,,73,100,,23,,,,
Antigua and Barbuda,ATG,2017,88,90,46,89,,71,,,,,,40,75,,23,,,,
Antigua and Barbuda,ATG,2018,,,,,20,,40,27,60,20,30,,,40,,40,20,60,80
Argentina,ARG,2011,90,80,50,100,,57,,,,,,73,100,,8,,,,
Argentina,ARG,2012,73,80,69,67,,86,,,,,,73,50,,86,,,,
Argentina,ARG,2013,90,80,69,100,,86,,,,,,73,50,,62,,,,
Argentina,ARG,2014,90,80,69,100,,86,,,,,,73,50,,62,,,,
Argentina,ARG,2015,90,80,69,100,,86,,,,,,73,50,,62,,,,
Argentina,ARG,2016,86,80,69,89,,86,,,,,,67,50,,77,,,,
Argentina,ARG,2017,96,80,85,78,,57,,,,,,57,50,,77,,,,
Argentina,ARG,2018,,,,,70,,60,80,40,60,80,,,60,,40,60,60,80
Armenia,ARM,2010,80,92,85,92,,80,,,,,,66,50,,100,,,,
Armenia,ARM,2011,40,95,92,100,,57,,,,,,90,75,,92,,,,
Armenia,ARM,2012,75,85,92,100,,86,,,,,,90,75,,93,,,,
Armenia,ARM,2013,79,85,92,100,,100,,,,,,100,75,,100,,,,
Armenia,ARM,2014,96,85,85,100,,100,,,,,,100,100,,92,,,,
Armenia,ARM,2015,100,90,92,100,,100,,,,,,100,100,,92,,,,
Armenia,ARM,2017,100,90,92,100,,100,,,,,,100,100,,92,,,,
Armenia,ARM,2018,,,,,80,,100,80,73,100,100,,,73,,100,80,100,40
Australia,AUS,2010,92,88,92,100,,100,,,,,,100,75,,100,,,,
Australia,AUS,2011,100,95,100,100,,100,,,,,,100,100,,100,,,,
Australia,AUS,2012,100,95,100,100,,100,,,,,,100,100,,93,,,,
Australia,AUS,2013,96,95,100,100,,100,,,,,,100,100,,100,,,,
Australia,AUS,2014,96,100,100,100,,100,,,,,,100,100,,100,,,,
Australia,AUS,2015,96,100,100,100,,100,,,,,,100,100,,100,,,,
Australia,AUS,2016,96,100,100,100,,100,,,,,,100,100,,100,,,,
Australia,AUS,2017,96,100,100,100,,100,,,,,,100,100,,100,,,,
Australia,AUS,2018,,,,,100,,100,100,100,20,100,,,87,,100,100,100,100
Austria,AUT,2010,92,96,78,92,,100,,,,,,83,50,,93,,,,
Austria,AUT,2011,90,95,100,100,,100,,,,,,90,75,,100,,,,
Austria,AUT,2012,91,95,92,100,,100,,,,,,90,75,,93,,,,
Austria,AUT,2013,100,80,46,89,,100,,,,,,90,100,,92,,,,
Austria,AUT,2014,100,80,92,89,,100,,,,,,90,75,,92,,,,
Austria,AUT,2015,100,100,85,89,,100,,,,,,90,75,,92,,,,
Austria,AUT,2016,100,100,77,100,,100,,,,,,90,75,,92,,,,
Austria,AUT,2017,58,90,85,100,,86,,,,,,53,50,,92,,,,
Austria,AUT,2018,,,,,0,,100,60,33,100,90,,,53,,20,60,20,80
Azerbaijan,AZE,2010,70,84,21,84,,70,,,,,,50,25,,60,,,,
Azerbaijan,AZE,2011,80,90,75,100,,57,,,,,,73,75,,58,,,,
Azerbaijan,AZE,2013,96,100,85,100,,57,,,,,,83,50,,77,,,,
Azerbaijan,AZE,2014,96,100,85,100,,57,,,,,,83,50,,77,,,,
Azerbaijan,AZE,2018,,,,,70,,80,80,73,80,90,,,93,,100,100,80,60
Bahamas,BHS,2010,88,100,21,15,,90,,,,,,100,50,,6,,,,
Bahamas,BHS,2011,70,90,8,0,,86,,,,,,90,75,,25,,,,
Bahamas,BHS,2014,96,100,38,44,,86,,,,,,83,75,,0,,,,
Bahamas,BHS,2015,96,100,54,67,,71,,,,,,83,75,,8,,,,
Bahamas,BHS,2016,96,100,69,56,,100,,,,,,83,75,,54,,,,
Bahamas,BHS,2017,96,100,77,78,,100,,,,,,83,75,,54,,,,
Bahamas,BHS,2018,,,,,40,,20,60,73,0,80,,,40,,60,20,60,80
Bahrain,BHR,2010,48,75,0,53,,100,,,,,,83,75,,80,,,,
Bahrain,BHR,2011,40,50,50,33,,100,,,,,,100,100,,67,,,,
Bahrain,BHR,2012,86,100,85,78,,86,,,,,,100,100,,93,,,,
Bahrain,BHR,2013,100,100,92,89,,71,,,,,,100,100,,69,,,,
Bahrain,BHR,2014,100,100,92,89,,100,,,,,,100,100,,69,,,,
Bahrain,BHR,2015,100,100,92,100,,100,,,,,,100,100,,100,,,,
Bahrain,BHR,2016,100,100,92,67,,100,,,,,,100,100,,100,,,,
Bahrain,BHR,2017,100,70,77,89,,100,,,,,,100,100,,100,,,,
Bahrain,BHR,2018,,,,,100,,80,87,87,100,100,,,87,,100,80,100,100
Bangladesh,BGD,2010,94,100,14,100,,100,,,,,,90,50,,66,,,,
Bangladesh,BGD,2011,80,90,17,100,,86,,,,,,56,50,,67,,,,
Bangladesh,BGD,2012,90,80,69,89,,86,,,,,,66,75,,64,,,,
Bangladesh,BGD,2013,100,90,77,89,,100,,,,,,73,100,,31,,,,
Bangladesh,BGD,2014,100,90,92,89,,100,,,,,,83,100,,46,,,,
Bangladesh,BGD,2015,100,90,92,89,,100,,,,,,83,100,,62,,,,
Bangladesh,BGD,2016,96,100,8,89,,57,,,,,,100,100,,46,,,,
Bangladesh,BGD,2017,96,100,15,89,,86,,,,,,100,100,,38,,,,
Bangladesh,BGD,2018,,,,,60,,40,60,47,80,80,,,60,,60,40,40,40
Barbados,BRB,2010,81,52,64,61,,70,,,,,,81,75,,20,,,,
Barbados,BRB,2011,90,90,75,100,,100,,,,,,53,50,,0,,,,
Barbados,BRB,2012,96,95,54,100,,86,,,,,,40,50,,0,,,,
Barbados,BRB,2013,96,100,54,100,,86,,,,,,53,100,,15,,,,
Barbados,BRB,2014,86,70,46,89,,71,,,,,,53,75,,38,,,,
Barbados,BRB,2015,96,95,77,100,,100,,,,,,90,100,,69,,,,
Barbados,BRB,2016,96,100,77,100,,100,,,,,,63,75,,69,,,,
Barbados,BRB,2017,92,95,85,100,,100,,,,,,100,100,,77,,,,
Belarus,BLR,2011,80,95,100,100,,100,,,,,,90,0,,0,,,,
Belarus,BLR,2014,96,65,92,89,,71,,,,,,100,100,,92,,,,
Belgium,BEL,2010,80,51,64,53,,70,,,,,,75,100,,86,,,,
Belgium,BEL,2011,80,55,83,78,,86,,,,,,30,100,,92,,,,
Belgium,BEL,2012,91,65,92,89,,100,,,,,,80,100,,100,,,,
Belgium,BEL,2013,91,65,92,89,,100,,,,,,63,100,,100,,,,
Belgium,BEL,2014,91,85,92,89,,100,,,,,,63,100,,100,,,,
Belgium,BEL,2015,91,85,92,89,,100,,,,,,63,100,,100,,,,
Belgium,BEL,2016,92,85,92,89,,100,,,,,,63,100,,100,,,,
Belgium,BEL,2017,92,85,85,100,,100,,,,,,63,100,,100,,,,
Belgium,BEL,2018,,,,,70,,100,47,87,100,80,,,80,,80,60,40,100
Belize,BLZ,2010,56,60,0,76,,20,,,,,,40,25,,0,,,,
Belize,BLZ,2011,70,65,8,78,,57,,,,,,46,25,,0,,,,
Belize,BLZ,2012,77,85,8,78,,71,,,,,,36,25,,0,,,,
Belize,BLZ,2013,73,85,15,67,,57,,,,,,56,25,,0,,,,
Belize,BLZ,2015,45,75,38,89,,57,,,,,,63,25,,8,,,,
Belize,BLZ,2018,,,,,20,,0,20,67,20,20,,,47,,60,0,40,40
Benin,BEN,2010,57,80,14,92,,60,,,,,,100,0,,20,,,,
Benin,BEN,2011,70,90,8,56,,57,,,,,,100,0,,0,,,,
Benin,BEN,2012,81,45,0,44,,57,,,,,,80,0,,7,,,,
Benin,BEN,2014,66,50,0,56,,29,,,,,,90,0,,38,,,,
Benin,BEN,2016,62,80,0,44,,43,,,,,,63,0,,0,,,,
Benin,BEN,2017,17,75,0,56,,29,,,,,,47,0,,0,,,,
Benin,BEN,2018,,,,,0,,20,33,27,20,60,,,20,,40,20,60,40
Bhutan,BTN,2010,28,47,0,7,,40,,,,,,71,25,,0,,,,
Bhutan,BTN,2011,30,60,0,67,,71,,,,,,66,50,,0,,,,
Bhutan,BTN,2013,33,10,0,67,,29,,,,,,36,50,,0,,,,
Bhutan,BTN,2014,66,40,15,100,,57,,,,,,90,75,,0,,,,
Bhutan,BTN,2015,71,80,23,100,,86,,,,,,90,75,,0,,,,
Bhutan,BTN,2016,86,80,38,100,,100,,,,,,100,75,,8,,,,
Bhutan,BTN,2017,90,60,38,100,,86,,,,,,100,75,,0,,,,
Bhutan,BTN,2018,,,,,50,,0,53,47,80,70,,,67,,60,20,60,40
Bolivia,BOL,2011,10,60,8,56,,43,,,,,,46,50,,58,,,,
Bolivia,BOL,2012,86,75,31,78,,43,,,,,,56,50,,71,,,,
Bolivia,BOL,2013,96,85,15,89,,71,,,,,,87,100,,69,,,,
Bolivia,BOL,2014,71,80,15,78,,43,,,,,,90,100,,77,,,,
Bolivia,BOL,2015,91,75,23,89,,57,,,,,,90,100,,77,,,,
Bolivia,BOL,2016,96,90,23,100,,57,,,,,,90,100,,100,,,,
Bolivia,BOL,2017,90,100,15,100,,43,,,,,,63,100,,92,,,,
Bosnia and Herzegovina,BIH,2010,43,48,7,76,,20,,,,,,40,75,,0,,,,
Bosnia and Herzegovina,BIH,2011,40,85,8,56,,57,,,,,,73,75,,25,,,,
Bosnia and Herzegovina,BIH,2014,59,65,38,78,,86,,,,,,73,75,,54,,,,
Bosnia and Herzegovina,BIH,2015,49,80,38,67,,57,,,,,,30,100,,69,,,,
Bosnia and Herzegovina,BIH,2016,62,75,46,44,,71,,,,,,30,100,,62,,,,
Bosnia and Herzegovina,BIH,2017,62,75,54,44,,71,,,,,,30,100,,69,,,,
Bosnia and Herzegovina,BIH,2018,,,,,0,,60,60,27,20,30,,,33,,20,20,20,80
Botswana,BWA,2010,63,76,21,53,,40,,,,,,46,100,,66,,,,
Botswana,BWA,2013,81,70,0,78,,29,,,,,,10,0,,15,,,,
Botswana,BWA,2015,100,50,8,22,,29,,,,,,70,100,,92,,,,
Botswana,BWA,2017,65,60,8,78,,29,,,,,,10,50,,69,,,,
Botswana,BWA,2018,,,,,0,,20,27,13,20,10,,,47,,20,20,20,40
Brazil,BRA,2010,65,67,42,84,,20,,,,,,75,75,,20,,,,
Brazil,BRA,2011,100,90,100,0,,100,,,,,,90,100,,92,,,,
Brazil,BRA,2013,96,90,62,89,,100,,,,,,90,100,,92,,,,
Brazil,BRA,2014,96,100,85,100,,100,,,,,,100,100,,92,,,,
Brazil,BRA,2015,96,100,92,100,,100,,,,,,100,100,,100,,,,
Brazil,BRA,2016,96,100,100,100,,100,,,,,,100,100,,100,,,,
Brazil,BRA,2017,92,90,92,89,,100,,,,,,90,100,,100,,,,
Brazil,BRA,2018,,,,,60,,100,93,87,80,100,,,47,,80,100,100,80
Brunei,BRN,2010,65,61,14,84,,70,,,,,,66,0,,6,,,,
Brunei,BRN,2011,60,80,17,100,,43,,,,,,63,0,,25,,,,
Brunei,BRN,2012,71,90,15,100,,57,,,,,,63,50,,36,,,,
Brunei,BRN,2013,100,90,31,100,,71,,,,,,100,75,,46,,,,
Brunei,BRN,2014,100,100,38,100,,71,,,,,,100,100,,54,,,,
Brunei,BRN,2015,100,100,46,100,,100,,,,,,100,100,,54,,,,
Brunei,BRN,2017,58,85,15,78,,71,,,,,,100,25,,69,,,,
Bulgaria,BGR,2011,80,85,58,89,,43,,,,,,46,50,,100,,,,
Bulgaria,BGR,2014,86,70,92,100,,43,,,,,,63,75,,100,,,,
Bulgaria,BGR,2018,,,,,50,,80,67,53,80,70,,,73,,40,40,60,80
Burkina Faso,BFA,2012,76,60,8,56,,43,,,,,,53,100,,7,,,,
Burkina Faso,BFA,2013,86,65,23,100,,43,,,,,,80,100,,50,,,,
Burkina Faso,BFA,2014,77,90,15,67,,57,,,,,,46,100,,15,,,,
Burkina Faso,BFA,2017,96,70,15,78,,14,,,,,,27,75,,15,,,,
Burkina Faso,BFA,2018,,,,,0,,20,33,20,40,30,,,13,,20,20,60,40
Burundi,BDI,2011,0,40,8,22,,29,,,,,,46,0,,0,,,,
Burundi,BDI,2012,71,95,0,67,,71,,,,,,73,0,,0,,,,
Burundi,BDI,2013,41,100,0,67,,57,,,,,,73,0,,0,,,,
Burundi,BDI,2014,70,100,0,100,,86,,,,,,73,100,,0,,,,
Burundi,BDI,2015,70,100,0,100,,86,,,,,,73,100,,0,,,,
Burundi,BDI,2016,80,100,0,100,,100,,,,,,83,100,,0,,,,
Burundi,BDI,2017,72,85,0,44,,14,,,,,,20,50,,0,,,,
Burundi,BDI,2018,,,,,10,,0,7,13,20,30,,,27,,20,0,40,40
Cambodia,KHM,2010,76,84,14,69,,30,,,,,,58,100,,0,,,,
Cambodia,KHM,2011,50,95,17,56,,57,,,,,,83,75,,8,,,,
Cambodia,KHM,2012,57,95,15,89,,43,,,,,,56,50,,0,,,,
Cambodia,KHM,2013,57,95,38,78,,43,,,,,,46,50,,15,,,,
Cambodia,KHM,2014,39,80,0,78,,43,,,,,,56,50,,0,,,,
Cambodia,KHM,2015,47,80,23,89,,71,,,,,,73,50,,23,,,,
Cambodia,KHM,2016,68,85,23,89,,71,,,,,,90,50,,23,,,,
Cambodia,KHM,2017,92,85,54,100,,100,,,,,,100,100,,23,,,,
Cambodia,KHM,2018,,,,,60,,20,47,33,60,60,,,33,,40,60,20,40
Cameroon,CMR,2010,65,47,0,92,,70,,,,,,91,50,,13,,,,
Cameroon,CMR,2011,100,75,8,100,,86,,,,,,26,100,,50,,,,
Cameroon,CMR,2012,90,75,15,100,,86,,,,,,26,100,,50,,,,
Cameroon,CMR,2013,100,85,92,100,,100,,,,,,100,100,,85,,,,
Cameroon,CMR,2014,100,85,92,100,,100,,,,,,100,100,,100,,,,
Cameroon,CMR,2016,76,90,15,100,,86,,,,,,40,0,,92,,,,
Cameroon,CMR,2017,96,80,23,100,,43,,,,,,20,0,,92,,,,
Cameroon,CMR,2018,,,,,20,,40,27,33,60,40,,,33,,20,20,60,40
Canada,CAN,2010,70,47,100,23,,20,,,,,,83,50,,100,,,,
Canada,CAN,2011,90,100,100,100,,86,,,,,,83,100,,100,,,,
Canada,CAN,2012,100,100,100,100,,100,,,,,,83,100,,100,,,,
Canada,CAN,2013,100,100,100,100,,100,,,,,,83,100,,100,,,,
Canada,CAN,2014,100,95,100,100,,100,,,,,,100,100,,100,,,,
Canada,CAN,2015,100,95,100,100,,100,,,,,,100,100,,100,,,,
Canada,CAN,2016,100,100,100,100,,100,,,,,,100,100,,100,,,,
Canada,CAN,2017,100,100,100,100,,100,,,,,,100,100,,100,,,,
Canada,CAN,2018,,,,,100,,100,93,100,100,100,,,100,,100,100,100,100
Cape Verde,CPV,2010,53,80,0,92,,100,,,,,,75,50,,0,,,,
Cape Verde,CPV,2016,100,95,0,89,,100,,,,,,100,100,,0,,,,
Cape Verde,CPV,2017,100,100,0,100,,100,,,,,,73,50,,0,,,,
Cape Verde,CPV,2018,,,,,40,,20,60,20,60,50,,,53,,20,20,40,80
Central African Republic,CAF,2011,40,55,8,44,,14,,,,,,26,75,,0,,,,
Central African Republic,CAF,2013,43,40,0,33,,14,,,,,,0,0,,0,,,,
Central African Republic,CAF,2014,51,40,0,33,,14,,,,,,36,0,,0,,,,
Central African Republic,CAF,2016,83,45,0,78,,43,,,,,,27,25,,0,,,,
Central African Republic,CAF,2017,41,45,8,56,,29,,,,,,0,0,,31,,,,
Central African Republic,CAF,2018,,,,,0,,20,0,27,20,0,,,7,,20,0,20,0
Chad,TCD,2011,30,80,0,56,,57,,,,,,20,0,,0,,,,
Chad,TCD,2013,41,75,0,67,,57,,,,,,30,25,,23,,,,
Chad,TCD,2015,51,75,15,67,,57,,,,,,46,25,,23,,,,
Chad,TCD,2016,48,75,15,67,,57,,,,,,47,25,,23,,,,
Chad,TCD,2017,52,75,15,67,,57,,,,,,57,25,,23,,,,
Chad,TCD,2018,,,,,20,,20,27,27,20,30,,,27,,20,20,40,20
Chile,CHL,2011,90,90,67,100,,100,,,,,,56,100,,83,,,,
Chile,CHL,2012,67,85,23,89,,57,,,,,,46,50,,79,,,,
Chile,CHL,2013,86,90,31,89,,43,,,,,,100,75,,92,,,,
Chile,CHL,2014,86,95,23,100,,71,,,,,,83,75,,62,,,,
Chile,CHL,2015,66,90,54,100,,100,,,,,,83,75,,77,,,,
Chile,CHL,2016,66,90,46,100,,71,,,,,,100,100,,77,,,,
Chile,CHL,2017,70,90,54,100,,71,,,,,,100,100,,69,,,,
Chile,CHL,2018,,,,,70,,80,73,73,100,80,,,47,,20,100,60,100
China,CHN,2010,100,60,78,92,,70,,,,,,91,100,,100,,,,
China,CHN,2011,90,95,75,100,,100,,,,,,100,100,,100,,,,
China,CHN,2012,87,100,77,44,,100,,,,,,100,100,,100,,,,
China,CHN,2013,96,100,100,100,,100,,,,,,100,100,,100,,,,
China,CHN,2014,100,100,92,100,,100,,,,,,100,100,,100,,,,
China,CHN,2015,100,100,92,100,,100,,,,,,100,100,,100,,,,
China,CHN,2016,100,100,100,100,,100,,,,,,100,100,,100,,,,
China,CHN,2017,100,100,100,100,,100,,,,,,100,100,,100,,,,
China,CHN,2018,,,,,100,,100,93,80,100,100,,,93,,80,100,80,100
Colombia,COL,2010,63,84,85,100,,100,,,,,,100,100,,53,,,,
Colombia,COL,2011,70,50,42,78,,71,,,,,,53,100,,0,,,,
Colombia,COL,2012,90,70,62,33,,86,,,,,,73,100,,21,,,,
Colombia,COL,2013,76,50,77,89,,100,,,,,,63,100,,69,,,,
Colombia,COL,2014,76,50,69,78,,100,,,,,,63,100,,69,,,,
Colombia,COL,2015,80,85,77,89,,100,,,,,,90,100,,77,,,,
Colombia,COL,2016,80,95,85,89,,100,,,,,,100,100,,77,,,,
Colombia,COL,2017,80,95,85,89,,100,,,,,,100,100,,85,,,,
Colombia,COL,2018,,,,,80,,40,80,73,80,70,,,47,,60,60,60,80
Comoros,COM,2013,41,65,0,78,,14,,,,,,46,0,,8,,,,
Comoros,COM,2017,69,45,15,67,,43,,,,,,20,0,,23,,,,
Comoros,COM,2018,,,,,0,,0,20,13,40,40,,,20,,20,0,20,20
Congo,COG,2010,14,33,0,30,,10,,,,,,30,25,,0,,,,
Congo,COG,2011,70,90,33,56,,57,,,,,,40,75,,33,,,,
Congo,COG,2012,66,100,54,89,,71,,,,,,56,25,,43,,,,
Congo,COG,2013,71,37,15,78,,43,,,,,,26,0,,0,,,,
Congo,COG,2016,39,75,23,56,,57,,,,,,73,0,,0,,,,
Congo,COG,2017,33,60,23,78,,14,,,,,,30,0,,0,,,,
Congo,COG,2018,,,,,40,,40,53,47,40,60,,,40,,40,20,80,40
Cook Islands,COK,2012,96,100,77,100,,100,,,,,,90,100,,36,,,,
Cook Islands,COK,2013,96,90,69,100,,100,,,,,,100,100,,38,,,,
Cook Islands,COK,2015,51,85,0,33,,71,,,,,,100,100,,38,,,,
Cook Islands,COK,2016,42,80,0,33,,71,,,,,,100,50,,15,,,,
Cook Islands,COK,2017,38,75,15,22,,43,,,,,,63,0,,31,,,,
Cook Islands,COK,2018,,,,,80,,60,80,67,20,50,,,87,,60,20,80,60
Costa Rica,CRI,2010,94,80,71,69,,80,,,,,,100,100,,26,,,,
Costa Rica,CRI,2011,70,70,25,78,,86,,,,,,100,100,,75,,,,
Costa Rica,CRI,2012,80,95,38,100,,86,,,,,,100,100,,21,,,,
Costa Rica,CRI,2013,76,95,77,100,,100,,,,,,100,100,,62,,,,
Costa Rica,CRI,2014,76,95,77,100,,100,,,,,,100,100,,62,,,,
Costa Rica,CRI,2015,86,100,46,100,,100,,,,,,100,100,,54,,,,
Costa Rica,CRI,2016,90,100,38,100,,100,,,,,,100,100,,46,,,,
Costa Rica,CRI,2017,76,95,77,100,,100,,,,,,100,75,,77,,,,
Costa Rica,CRI,2018,,,,,60,,20,93,27,60,70,,,73,,80,100,80,80
Cote d'Ivoire,CIV,2011,90,0,8,78,,57,,,,,,73,50,,17,,,,
Cote d'Ivoire,CIV,2013,100,100,62,89,,100,,,,,,100,100,,100,,,,
Cote d'Ivoire,CIV,2016,100,95,77,100,,86,,,,,,80,50,,77,,,,
Cote d'Ivoire,CIV,2017,100,100,85,100,,86,,,,,,90,100,,85,,,,
Cote d'Ivoire,CIV,2018,,,,,40,,40,33,33,60,20,,,27,,20,100,80,20
Croatia,HRV,2010,100,100,100,92,,100,,,,,,75,100,,93,,,,
Croatia,HRV,2011,100,100,100,100,,100,,,,,,90,100,,100,,,,
Croatia,HRV,2013,87,85,100,100,,100,,,,,,90,100,,100,,,,
Croatia,HRV,2014,76,75,85,100,,43,,,,,,36,50,,62,,,,
Croatia,HRV,2015,76,75,85,100,,43,,,,,,36,50,,62,,,,
Croatia,HRV,2016,76,75,85,100,,43,,,,,,37,50,,62,,,,
Croatia,HRV,2017,76,75,85,100,,43,,,,,,37,50,,62,,,,
Croatia,HRV,2018,,,,,80,,80,80,47,80,70,,,67,,60,60,80,80
Cuba,CUB,2011,90,100,100,100,,100,,,,,,100,100,,92,,,,
Cuba,CUB,2012,96,100,100,100,,100,,,,,,100,100,,93,,,,
Cuba,CUB,2013,100,95,92,100,,100,,,,,,100,100,,100,,,,
Cuba,CUB,2014,86,100,85,100,,100,,,,,,100,100,,100,,,,
Cuba,CUB,2015,100,100,100,100,,100,,,,,,100,100,,100,,,,
Cuba,CUB,2016,90,100,100,100,,100,,,,,,100,100,,92,,,,
Cuba,CUB,2017,100,100,100,100,,100,,,,,,100,100,,100,,,,
Cuba,CUB,2018,,,,,100,,100,100,100,100,100,,,100,,100,100,100,100
Cyprus,CYP,2010,7,28,14,69,,20,,,,,,66,75,,46,,,,
Cyprus,CYP,2011,10,35,17,89,,43,,,,,,63,75,,100,,,,
Cyprus,CYP,2013,14,60,54,89,,71,,,,,,100,75,,100,,,,
Cyprus,CYP,2014,14,60,0,89,,57,,,,,,100,75,,100,,,,
Cyprus,CYP,2016,63,100,100,100,,100,,,,,,100,100,,100,,,,
Cyprus,CYP,2017,63,100,100,100,,100,,,,,,100,100,,100,,,,
Cyprus,CYP,2018,,,,,70,,40,67,87,80,70,,,60,,60,100,100,100
Czech Republic,CZE,2010,81,73,100,92,,90,,,,,,73,100,,100,,,,
Czech Republic,CZE,2011,90,90,100,100,,71,,,,,,66,100,,100,,,,
Czech Republic,CZE,2012,100,100,100,100,,86,,,,,,83,100,,86,,,,
Czech Republic,CZE,2013,100,95,100,100,,86,,,,,,83,100,,100,,,,
Czech Republic,CZE,2014,96,95,100,100,,86,,,,,,83,100,,100,,,,
Czech Republic,CZE,2015,96,95,100,100,,86,,,,,,83,100,,100,,,,
Czech Republic,CZE,2017,96,100,100,100,,86,,,,,,100,100,,100,,,,
Czech Republic,CZE,2018,,,,,30,,100,53,67,80,60,,,93,,40,60,80,60
Democratic Republic of Congo,COD,2010,66,68,14,30,,40,,,,,,58,0,,20,,,,
Democratic Republic of Congo,COD,2011,70,75,0,33,,57,,,,,,30,100,,92,,,,
Democratic Republic of Congo,COD,2012,71,85,8,44,,100,,,,,,30,100,,93,,,,
Democratic Republic of Congo,COD,2013,100,85,0,78,,100,,,,,,46,50,,77,,,,
Democratic Republic of Congo,COD,2014,100,85,0,89,,100,,,,,,46,50,,92,,,,
Democratic Republic of Congo,COD,2015,100,85,0,100,,100,,,,,,56,50,,92,,,,
Democratic Republic of Congo,COD,2016,86,70,0,100,,100,,,,,,57,50,,92,,,,
Democratic Republic of Congo,COD,2017,86,85,0,89,,100,,,,,,47,0,,92,,,,
Democratic Republic of Congo,COD,2018,,,,,20,,20,27,33,60,60,,,27,,20,20,60,20
Denmark,DNK,2010,56,28,85,100,,80,,,,,,91,50,,100,,,,
Denmark,DNK,2011,90,75,83,100,,100,,,,,,40,75,,100,,,,
Denmark,DNK,2013,91,90,100,89,,86,,,,,,80,100,,92,,,,
Denmark,DNK,2014,91,95,92,89,,86,,,,,,90,100,,100,,,,
Denmark,DNK,2015,91,95,92,89,,86,,,,,,90,100,,100,,,,
Denmark,DNK,2016,92,80,92,100,,100,,,,,,100,100,,92,,,,
Denmark,DNK,2017,100,60,92,100,,100,,,,,,100,100,,85,,,,
Denmark,DNK,2018,,,,,100,,60,93,100,100,100,,,100,,100,100,100,100
